probe,compiled,sass_lines,unique_mnemonics,max_registers,spill_stores,spill_loads,new_mnemonics
probe_4bit_formats,1,1064,44,89,0,0,
probe_async_copy,1,192,31,26,0,0,
probe_atomic_throughput,1,912,25,10,0,0,
probe_bcd_decimal,1,232,34,18,0,0,
probe_bf16_arithmetic,1,224,23,38,0,0,
probe_bignum_bigfloat,1,512,20,70,0,0,
probe_bit_manipulation,1,208,28,18,0,0,
probe_bitwise,1,160,21,14,0,0,
probe_cache_policy,1,104,17,14,0,0,
probe_coalescing_patterns,1,120,29,16,0,0,
probe_constant_memory,1,328,28,40,0,0,
probe_control_flow,1,712,35,15,0,0,
probe_convergence_barriers,1,656,37,14,0,0,
probe_conversions,1,160,42,16,0,0,
probe_cooperative_launch,1,464,72,16,0,0,
probe_encoding_verify,1,176,19,24,0,0,
probe_fixed_point,1,4752,32,16,0,0,
probe_fp16_half2,1,168,24,18,0,0,
probe_fp32_arith,1,224,14,20,0,0,
probe_fp32_special_modes,1,680,23,12,0,0,
probe_fp64_arithmetic,1,312,37,30,0,0,
probe_fp64_extended,1,256,50,24,0,0,
probe_fp64_transcendentals,1,624,67,30,0,0,
probe_fp8_precision,1,264,22,25,0,0,
probe_int128_uint128_emulated,1,160,31,20,0,0,
probe_int16_arithmetic,1,176,21,38,0,0,
probe_int64_arithmetic,1,288,44,16,0,0,
probe_int8_dp4a,1,168,18,30,0,0,
probe_int_arith,1,192,21,14,0,0,
probe_l1_l2_dram_boundary,1,32,15,12,0,0,
probe_memory,1,344,52,20,0,0,
probe_memory_scope,1,224,27,34,0,0,
probe_mixed_precision,1,816,30,64,0,0,
probe_mufu,1,1016,41,14,0,0,
probe_mx_microscaling,1,216,52,14,0,0,
probe_nanosleep_scheduling,1,1320,23,16,0,0,
probe_nf4_normalfloat,1,320,40,15,0,0,
probe_nibble_packing,1,480,34,34,0,0,
probe_nonexistent_formats_emulation,1,248,42,32,0,0,
probe_optix_rt_core,1,96,21,29,0,0,
probe_posit_unum,1,504,45,16,0,0,
probe_predicate_pressure,1,256,20,22,0,0,
probe_register_pressure,1,520,18,48,0,0,
probe_special_regs,1,96,21,14,0,0,
probe_swizzled_add,1,104,15,14,0,0,
probe_tensor_all_widths,1,1176,28,54,0,0,
probe_tensor,1,136,16,38,0,0,
probe_tensor_deep,1,2752,24,78,0,0,
probe_tensor_extended,1,264,27,34,0,0,
probe_tensor_ldsm,1,560,37,63,0,0,
probe_texture_surface,1,288,37,18,0,0,
probe_tf32_scalar,1,1664,24,18,0,0,
probe_transcendentals,1,848,80,30,0,0,
probe_uint4_tensor,1,72,14,14,0,0,
probe_uint8_uint16_paths,1,208,26,16,0,0,
probe_uniform_datapath,1,200,25,10,0,0,
probe_vectorized_widths,1,488,23,16,0,0,
probe_warp_elect_activemask,1,160,43,12,0,0,
probe_warp_matrix_shared,1,296,36,26,0,0,
probe_warp_reduction,1,256,39,16,0,0,
