node_id,prune
0,0
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
35,1
36,1
40,1
41,1
42,1
43,1
45,1
46,1
47,1
48,1
49,1
50,1
52,1
53,1
54,1
55,1
75,1
76,1
77,1
82,1
84,1
85,1
89,1
94,1
95,1
99,1
100,1
101,1
102,1
103,1
105,1
106,1
108,1
148,1
149,1
163,1
164,1
172,1
174,1
177,1
179,1
185,1
186,1
194,1
198,1
199,1
222,1
231,1
232,1
236,1
237,1
238,1
240,1
241,1
246,1
248,1
249,1
250,1
251,1
252,1
253,1
258,1
295,1
296,1
297,1
301,1
302,1
303,1
318,1
319,1
320,1
324,1
333,1
337,1
347,1
351,1
354,1
356,1
357,1
363,1
365,1
367,1
451,1
457,1
464,1
472,1
486,1
490,1
496,1
497,1
498,1
499,1
500,1
501,1
506,1
515,1
597,1
600,1
601,1
602,1
604,1
605,1
606,1
607,1
608,1
614,1
615,1
616,1
620,1
634,1
644,1
648,1
651,1
658,1
660,1
664,1
665,1
669,1
672,1
685,1
688,1
689,1
716,1
726,1
730,1
893,1
896,1
900,1
902,1
912,1
913,1
914,1
916,1
922,1
923,1
925,1
926,1
927,1
928,1
932,1
940,1
941,1
948,1
967,1
982,1
983,1
984,1
986,1
1000,1
1001,1
1003,1
1004,1
1009,1
